Class,Text_Data
Request,urgently require update on transaction can -PRON- please tell -PRON- the amount transfer through transaction -PRON- d thank
Request,seek update on the status of transaction please provide a status update on at the early
Request,seek update on the status of transaction kindly reply to -PRON- at the early with the last transaction make with the account no thank in advance
Processing,deal with the transaction acknowledge the received payment for transaction -PRON- be finally in process kind regard
Complete,fulfil transaction have -PRON- d glad to let -PRON- know that i get the desired payment in reference to transaction i be very happy with -PRON- service and will definitely recommend -PRON- company to -PRON- friend and acquaintance warm regard
Failed,urgent transaction cease greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Request,urgently require update on transaction i need detail of urgently please provide the same on priority basis
Processing,accepted payment transaction currently process thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
Request,seek update on the status of transaction kindly reply to -PRON- at the early with the last transaction make with the account no thank in advance
Pending,partially pay the require amount for transaction hello greeting for the day status of transaction inr for account be pende i would be grateful if -PRON- could tell -PRON- the cause thank a lot
Failed,why have -PRON- transaction stop this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Processing,require money acquire transaction be in process hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
Complete,complete transaction no i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of inr
Failed,transaction stall and payment not receive greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Processing,require money acquire transaction be in process hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
General,change address for account no this be to inform -PRON- that i be not able to withdraw money from -PRON- account please help
Complete,complete transaction no i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of usd
Pending,payment be pende for transaction since -PRON- transaction be still pende i want to know if there be a problem with the paperwork from -PRON- side please let -PRON- know at the early thank and regard
Failed,urgent transaction cease this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
General,how to change pin no of atm card i need a new cheque book of leave kindly send the same to -PRON- current address which be present in the detail of -PRON- account
Complete,sort out the transaction with -PRON- d i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of inr
Processing,process transaction have -PRON- d sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
Pending,payment be pende for transaction since -PRON- transaction be still pende i want to know if there be a problem with the paperwork from -PRON- side please let -PRON- know at the early thank and regard
Pending,incomplete transaction hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
Complete,receive full payment for transaction no i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of inr
Complete,transaction be complete greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Processing,require money acquire transaction be in process acknowledge the received payment for transaction -PRON- be finally in process kind regard
General,want to block account i have hear a lot about -PRON- bank and would like to open an account with citibank for that i would like to know all the document that be require kindly reply with the same and also the further step to be take eagerly wait for -PRON- reply
Failed,transaction have -PRON- d have stop help greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
General,change address for account no this be to inform -PRON- that i be not able to withdraw money from -PRON- account please help
Failed,why have -PRON- transaction stop hey i see -PRON- transaction with -PRON- d have fail i think i do everything right please look into this and reply with the reason urgently thank -PRON- and regard
General,how to change pin no of atm card kindly add the contact no to -PRON- bank account
Request,request to send detail of transaction urgently require detail of acc reply asap
Pending,transaction no be unresolved the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
Request,seek update on the status of transaction please provide a status update on at the early
Failed,failure of transaction i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Processing,process transaction have -PRON- d hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
Request,seek update on the status of transaction urgently require detail of acc reply asap
Failed,failure of transaction hey i see -PRON- transaction with -PRON- d have fail i think i do everything right please look into this and reply with the reason urgently thank -PRON- and regard
Processing,process transaction have -PRON- d acknowledge the received payment for transaction -PRON- be finally in process kind regard
General,how to change pin no of atm card hey i think i lose -PRON- atm card today so can -PRON- please block -PRON- account or tell -PRON- a way to change -PRON- pin no i urgently need -PRON- reply thank in advance
Processing,process transaction have -PRON- d this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Processing,handle the transaction after payment this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Complete,receive full payment for transaction no hello sincere greeting for the day i would like to inform -PRON- that -PRON- transaction have complete thank -PRON- so much for -PRON- support look forward to work more with -PRON- in the future regard
Complete,complete transaction no hello sincere greeting for the day i would like to inform -PRON- that -PRON- transaction have complete thank -PRON- so much for -PRON- support look forward to work more with -PRON- in the future regard
Processing,transaction be now be process hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
Pending,partial payment for transaction hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
Request,urgently require update on transaction i need detail of urgently please provide the same on priority basis
Failed,why have -PRON- transaction stop greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Failed,urgent transaction cease this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Complete,transaction be complete transaction complete payment receive acknowledge thank
Pending,the pende amount for transaction will reach -PRON- soon hello greeting for the day status of transaction gbp for account be pende i would be grateful if -PRON- could tell -PRON- the cause thank a lot
Pending,payment outstanding for transaction hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
Processing,require money acquire transaction be in process this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Processing,require money acquire transaction be in process sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
Request,implore update on transaction i need detail of urgently please provide the same on priority basis
Processing,payment receive for transaction and now process sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
Processing,transaction be now be process thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
Failed,failure of transaction this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Complete,payment do and transaction settle hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
Request,request to send detail of transaction i need detail of urgently please provide the same on priority basis
Pending,the pende amount for transaction will reach -PRON- soon the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
Request,urgently require update on transaction i request -PRON- to kindly send the status of -PRON- transaction with -PRON- d thank and regard
Failed,urgent transaction cease hey i see -PRON- transaction with -PRON- d have fail i think i do everything right please look into this and reply with the reason urgently thank -PRON- and regard
Request,request to send detail of transaction hey i would be really grateful if -PRON- could tell -PRON- the detail of account no thank
Failed,transaction have fail i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Pending,partially pay the require amount for transaction since -PRON- transaction be still pende i want to know if there be a problem with the paperwork from -PRON- side please let -PRON- know at the early thank and regard
Complete,fulfil transaction have -PRON- d hello sincere greeting for the day i would like to inform -PRON- that -PRON- transaction have complete thank -PRON- so much for -PRON- support look forward to work more with -PRON- in the future regard
Processing,transaction be now be process sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
Failed,transaction stall and payment not receive hey i see -PRON- transaction with -PRON- d have fail i think i do everything right please look into this and reply with the reason urgently thank -PRON- and regard
Failed,transaction have -PRON- d have stop help this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Pending,the pende amount for transaction will reach -PRON- soon hello greeting for the day status of transaction usd for account be pende i would be grateful if -PRON- could tell -PRON- the cause thank a lot
Failed,failure of transaction this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
General,change address for account no add -PRON- new address vivek apts st patricks town hadapsar pune maharashtra to -PRON- record
Failed,transaction have -PRON- d have stop help this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Complete,transaction be complete i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of gbp
Failed,transaction stall and payment not receive this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Pending,pende payment for transaction have -PRON- d hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
Request,implore update on transaction kindly reply to -PRON- at the early with the last transaction make with the account no thank in advance
Complete,sort out the transaction with -PRON- d hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
Complete,conclude the transaction to whom -PRON- may concern i have successfully receive payment for the transaction i be grateful for -PRON- cooperation thank -PRON- so much and regard
Processing,accepted payment transaction currently process acknowledge the received payment for transaction -PRON- be finally in process kind regard
Request,request to send detail of transaction i request -PRON- to kindly send the status of -PRON- transaction with -PRON- d thank and regard
Processing,accepted payment transaction currently process thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
Pending,payment outstanding for transaction i regret to inform -PRON- the i could only pay the partial amount of inr i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
General,add one more contact no to account i need a new cheque book of leave kindly send the same to -PRON- current address which be present in the detail of -PRON- account
Failed,failure of transaction hey i see -PRON- transaction with -PRON- d have fail i think i do everything right please look into this and reply with the reason urgently thank -PRON- and regard
Complete,payment do and transaction settle greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Failed,transaction have -PRON- d have stop help i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Request,urgently require update on transaction kindly reply to -PRON- at the early with the last transaction make with the account no thank in advance
General,why can not i withdraw money with -PRON- atm card i have hear a lot about -PRON- bank and would like to open an account with citibank for that i would like to know all the document that be require kindly reply with the same and also the further step to be take eagerly wait for -PRON- reply
Failed,failure of transaction this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Failed,failure of transaction hey i see -PRON- transaction with -PRON- d have fail i think i do everything right please look into this and reply with the reason urgently thank -PRON- and regard
General,new cheque book i need a new cheque book of leave kindly send the same to -PRON- current address which be present in the detail of -PRON- account
Pending,transaction no be unresolved hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
Failed,transaction stall and payment not receive this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Pending,incomplete transaction the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
Processing,process transaction have -PRON- d acknowledge the received payment for transaction -PRON- be finally in process kind regard
Request,seek update on the status of transaction please provide a status update on at the early
Request,implore update on transaction i need detail of urgently please provide the same on priority basis
Complete,conclude the transaction greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Pending,transaction no be unresolved there have be only a partial payment of amount eur assure -PRON- that the rest will be pay later warm regard
Pending,payment outstanding for transaction the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
Processing,accepted payment transaction currently process hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
Pending,payment be pende for transaction hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
Failed,abrupt closure of transaction with -PRON- d i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
General,change address for account no this be to inform -PRON- that i be not able to withdraw money from -PRON- account please help
Failed,transaction have fail this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Pending,pende payment for transaction have -PRON- d hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
Pending,pende payment for transaction have -PRON- d the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
General,how to change pin no of atm card kindly add the contact no to -PRON- bank account
Request,implore update on transaction i need detail of urgently please provide the same on priority basis
Complete,transaction be complete i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of inr
Processing,transaction be now be process thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
Processing,deal with the transaction hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
Processing,process transaction have -PRON- d sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
Request,solicit information for -PRON- d kindly reply to -PRON- at the early with the last transaction make with the account no thank in advance
Complete,payment do and transaction settle to whom -PRON- may concern i have successfully receive payment for the transaction i be grateful for -PRON- cooperation thank -PRON- so much and regard
Complete,fulfil transaction have -PRON- d hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
Complete,transaction be complete hello sincere greeting for the day i would like to inform -PRON- that -PRON- transaction have complete thank -PRON- so much for -PRON- support look forward to work more with -PRON- in the future regard
Request,implore update on transaction please provide a status update on at the early
Processing,payment receive for transaction and now process this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Request,implore update on transaction kindly reply to -PRON- at the early with the last transaction make with the account no thank in advance
General,new cheque book kindly add the contact no to -PRON- bank account
Complete,complete transaction no glad to let -PRON- know that i get the desired payment in reference to transaction i be very happy with -PRON- service and will definitely recommend -PRON- company to -PRON- friend and acquaintance warm regard
Processing,require money acquire transaction be in process sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
General,send step to activate online banking this be to inform -PRON- that i be not able to withdraw money from -PRON- account please help
Pending,remain amount for transaction to be pay later since -PRON- transaction be still pende i want to know if there be a problem with the paperwork from -PRON- side please let -PRON- know at the early thank and regard
Request,solicit information for -PRON- d hey i would be really grateful if -PRON- could tell -PRON- the detail of account no thank
Complete,conclude the transaction hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
Complete,finalized transaction of -PRON- d hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
Pending,remain amount for transaction to be pay later i regret to inform -PRON- the i could only pay the partial amount of inr i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
Failed,abrupt closure of transaction with -PRON- d this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Failed,why have -PRON- transaction stop this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Failed,failure of transaction greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Failed,urgent transaction cease this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
General,change address for account no kindly add the contact no to -PRON- bank account
Complete,fulfil transaction have -PRON- d to whom -PRON- may concern i have successfully receive payment for the transaction i be grateful for -PRON- cooperation thank -PRON- so much and regard
Complete,payment do and transaction settle hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
General,add one more contact no to account kindly add the contact no to -PRON- bank account
Request,urgently require update on transaction kindly reply to -PRON- at the early with the last transaction make with the account no thank in advance
Pending,payment be pende for transaction i regret to inform -PRON- the i could only pay the partial amount of gbp i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
Processing,payment receive for transaction and now process hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
Complete,fulfil transaction have -PRON- d greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Request,seek update on the status of transaction can -PRON- please tell -PRON- the amount transfer through transaction -PRON- d thank
Pending,payment outstanding for transaction hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
Complete,receive full payment for transaction no hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
Request,request to send detail of transaction kindly reply to -PRON- at the early with the last transaction make with the account no thank in advance
Complete,finalized transaction of -PRON- d hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
Request,urgently require update on transaction kindly reply to -PRON- at the early with the last transaction make with the account no thank in advance
Request,solicit information for -PRON- d please provide a status update on at the early
Pending,partial payment for transaction the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
Complete,sort out the transaction with -PRON- d greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Failed,failure of transaction this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Request,request to send detail of transaction i need detail of urgently please provide the same on priority basis
Complete,transaction be complete to whom -PRON- may concern i have successfully receive payment for the transaction i be grateful for -PRON- cooperation thank -PRON- so much and regard
Failed,abrupt closure of transaction with -PRON- d i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Processing,transaction be now be process sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
Failed,transaction stall and payment not receive hey i see -PRON- transaction with -PRON- d have fail i think i do everything right please look into this and reply with the reason urgently thank -PRON- and regard
Pending,payment outstanding for transaction hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
Pending,payment be pende for transaction hello greeting for the day status of transaction eur for account be pende i would be grateful if -PRON- could tell -PRON- the cause thank a lot
Complete,conclude the transaction to whom -PRON- may concern i have successfully receive payment for the transaction i be grateful for -PRON- cooperation thank -PRON- so much and regard
Failed,transaction stall and payment not receive i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Complete,receive full payment for transaction no i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of usd
Request,implore update on transaction kindly reply to -PRON- at the early with the last transaction make with the account no thank in advance
Failed,transaction stall and payment not receive this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Complete,fulfil transaction have -PRON- d greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
General,why can not i withdraw money with -PRON- atm card this be to inform -PRON- that i be not able to withdraw money from -PRON- account please help
Processing,require money acquire transaction be in process sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
Failed,transaction have fail greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
General,want to block account kindly add the contact no to -PRON- bank account
Complete,sort out the transaction with -PRON- d to whom -PRON- may concern i have successfully receive payment for the transaction i be grateful for -PRON- cooperation thank -PRON- so much and regard
Processing,deal with the transaction this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Request,urgently require update on transaction urgently require detail of acc reply asap
Complete,payment do and transaction settle hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
Pending,the pende amount for transaction will reach -PRON- soon hello greeting for the day status of transaction usd for account be pende i would be grateful if -PRON- could tell -PRON- the cause thank a lot
Pending,payment outstanding for transaction i regret to inform -PRON- the i could only pay the partial amount of inr i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
Processing,accepted payment transaction currently process acknowledge the received payment for transaction -PRON- be finally in process kind regard
Processing,payment receive for transaction and now process sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
Complete,transaction be complete greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Processing,transaction be now be process acknowledge the received payment for transaction -PRON- be finally in process kind regard
Failed,abrupt closure of transaction with -PRON- d i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Complete,payment do and transaction settle to whom -PRON- may concern i have successfully receive payment for the transaction i be grateful for -PRON- cooperation thank -PRON- so much and regard
Complete,fulfil transaction have -PRON- d glad to let -PRON- know that i get the desired payment in reference to transaction i be very happy with -PRON- service and will definitely recommend -PRON- company to -PRON- friend and acquaintance warm regard
Complete,receive full payment for transaction no hello sincere greeting for the day i would like to inform -PRON- that -PRON- transaction have complete thank -PRON- so much for -PRON- support look forward to work more with -PRON- in the future regard
Failed,transaction stall and payment not receive this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Request,ask for the detail for transaction can -PRON- please tell -PRON- the amount transfer through transaction -PRON- d thank
Failed,abrupt closure of transaction with -PRON- d this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Pending,payment be pende for transaction the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
Complete,fulfil transaction have -PRON- d hello sincere greeting for the day i would like to inform -PRON- that -PRON- transaction have complete thank -PRON- so much for -PRON- support look forward to work more with -PRON- in the future regard
Request,ask for the detail for transaction please provide a status update on at the early
Request,request to send detail of transaction kindly reply to -PRON- at the early with the last transaction make with the account no thank in advance
General,new cheque book kindly add the contact no to -PRON- bank account
Pending,pende payment for transaction have -PRON- d i regret to inform -PRON- the i could only pay the partial amount of gbp i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
Processing,handle the transaction after payment acknowledge the received payment for transaction -PRON- be finally in process kind regard
Failed,transaction stall and payment not receive greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Complete,sort out the transaction with -PRON- d hello sincere greeting for the day i would like to inform -PRON- that -PRON- transaction have complete thank -PRON- so much for -PRON- support look forward to work more with -PRON- in the future regard
Complete,receive full payment for transaction no i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of inr
Request,impetrate detail for -PRON- d please provide a status update on at the early
Request,request to send detail of transaction hey i would be really grateful if -PRON- could tell -PRON- the detail of account no thank
Processing,deal with the transaction sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
General,change address for account no hey can -PRON- please send -PRON- the detailed step that i ought to follow to create a new bank account
Request,urgently require update on transaction hey i would be really grateful if -PRON- could tell -PRON- the detail of account no thank
Request,seek update on the status of transaction please provide a status update on at the early
Processing,transaction be now be process this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
General,upgrade to an account with more benefit i need a new cheque book of leave kindly send the same to -PRON- current address which be present in the detail of -PRON- account
Failed,transaction have -PRON- d have stop help this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Pending,remain amount for transaction to be pay later hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
Processing,require money acquire transaction be in process this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Processing,deal with the transaction this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Failed,transaction stall and payment not receive this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
General,why can not i withdraw money with -PRON- atm card i need a new cheque book of leave kindly send the same to -PRON- current address which be present in the detail of -PRON- account
Request,ask for the detail for transaction i request -PRON- to kindly send the status of -PRON- transaction with -PRON- d thank and regard
Complete,transaction be complete hello sincere greeting for the day i would like to inform -PRON- that -PRON- transaction have complete thank -PRON- so much for -PRON- support look forward to work more with -PRON- in the future regard
Complete,finalized transaction of -PRON- d glad to let -PRON- know that i get the desired payment in reference to transaction i be very happy with -PRON- service and will definitely recommend -PRON- company to -PRON- friend and acquaintance warm regard
Request,solicit information for -PRON- d i request -PRON- to kindly send the status of -PRON- transaction with -PRON- d thank and regard
Pending,payment outstanding for transaction i regret to inform -PRON- the i could only pay the partial amount of inr i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
Failed,transaction have -PRON- d have stop help this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Processing,handle the transaction after payment thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
Request,request to send detail of transaction i request -PRON- to kindly send the status of -PRON- transaction with -PRON- d thank and regard
Complete,receive full payment for transaction no greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Complete,transaction be complete greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Request,implore update on transaction i request -PRON- to kindly send the status of -PRON- transaction with -PRON- d thank and regard
Pending,payment outstanding for transaction the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
General,upgrade to an account with more benefit kindly add the contact no to -PRON- bank account
Processing,payment receive for transaction and now process thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
Request,request to send detail of transaction i need detail of urgently please provide the same on priority basis
Pending,transaction no be unresolved i regret to inform -PRON- the i could only pay the partial amount of inr i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
Complete,finalized transaction of -PRON- d greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
